"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Luke Drzewiecki","K","8","0","0","0","0","0","0","0","0","6","6","10","14","0","0","36","4.5","","new-mexico","2022"
"2","George Steinkamp","K","12","0","0","0","0","0","0","0","0","10","11","3","7","0","0","19","1.6","","new-mexico","2022"
"3","Miles Kendrick","QB","8","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.3","","new-mexico","2022"
"4","Sherod White","RB","10","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","new-mexico","2022"
"5","Geordon Porter","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","new-mexico","2022"
"6","Luke Wysong","WR","11","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","new-mexico","2022"
"7","Nate Jones","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","new-mexico","2022"
"8","Christian Washington","RB","10","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0.6","","new-mexico","2022"
"9","CJ Montes","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","new-mexico","2022"
"10","Jah'Mar Sanders","WR","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","new-mexico","2022"
"11","Justin Holaday","QB","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","new-mexico","2022"
"12","Reco Hannah","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","new-mexico","2022"
