"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Brayden Narveson","K","13","0","0","0","0","0","0","0","0","38","38","18","23","0","0","92","7.1","","north-carolina-state","2023"
"2","Kevin Concepcion","WR","13","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","north-carolina-state","2023"
"3","Delbert Mimms","RB","13","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","north-carolina-state","2023"
"4","Brennan Armstrong","QB","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","north-carolina-state","2023"
"5","Trent Pennix","TE","12","1","3","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","north-carolina-state","2023"
"6","Brad Rozner","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","north-carolina-state","2023"
"7","Dacari Collins","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","north-carolina-state","2023"
"8","Julian Gray","WR","11","0","1","0","1","0","0","0","2","0","0","0","0","0","0","12","1.1","","north-carolina-state","2023"
"9","Demarcus Jones","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","north-carolina-state","2023"
"10","Jordan Poole","RB","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina-state","2023"
"11","Kendrick Raphael","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina-state","2023"
"12","Michael Allen","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","north-carolina-state","2023"
"13","Payton Wilson","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","Bednarik,AA","north-carolina-state","2023"
"14","Robert Kennedy","S","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","north-carolina-state","2023"
"15","Jaylon Scott","LB","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","north-carolina-state","2023"
"16","Kanoah Vinesett","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","north-carolina-state","2023"
