"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Grayson Atkins","PK","13","0","0","0","0","0","0","0","0","52","52","19","23","0","0","109","8.4","","north-carolina","2021"
"2","Ty Chandler","RB","13","13","1","0","0","0","0","0","14","0","0","0","0","1","0","86","6.6","","north-carolina","2021"
"3","Sam Howell","QB","12","11","0","0","0","0","0","0","11","0","0","0","0","0","0","66","5.5","","north-carolina","2021"
"4","Josh Downs","WR","13","0","8","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","north-carolina","2021"
"5","Antoine Green","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","1","0","32","2.5","","north-carolina","2021"
"6","Kamari Morales","TE","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","north-carolina","2021"
"7","British Brooks","RB","11","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","north-carolina","2021"
"8","Garrett Walston","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","north-carolina","2021"
"9","Jacolby Criswell","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","north-carolina","2021"
"10","John Copenhaver","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina","2021"
"11","Emery Simmons","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","north-carolina","2021"
"12","Justin Olson","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina","2021"
"13","Khafre Brown","WR","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","north-carolina","2021"
"14","Caleb Hood","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","north-carolina","2021"
"15","Trey Morrison","DB","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina","2021"
"16","Bryson Nesbit","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","north-carolina","2021"
"17","Cayden Baker","OL","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.7","","north-carolina","2021"
"18","Jonathan Kim","PK","13","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.1","","north-carolina","2021"
