"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","John Richardson","K","13","0","0","0","0","0","0","0","0","42","42","22","27","0","0","108","8.3","","northern-illinois","2021"
"2","Clint Ratkovich","RB","14","13","2","0","0","0","0","0","15","0","0","0","0","0","0","90","6.4","","northern-illinois","2021"
"3","Rocky Lombardi","QB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","northern-illinois","2021"
"4","Trayvon Rudolph","WR","14","1","7","0","1","0","0","0","9","0","0","0","0","0","0","54","3.9","","northern-illinois","2021"
"5","Antario Brown","RB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","northern-illinois","2021"
"6","Harrison Waylee","RB","5","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","4.8","","northern-illinois","2021"
"7","Cole Tucker","WR","9","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","northern-illinois","2021"
"8","Jevyon Ducker","RB","12","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","northern-illinois","2021"
"9","Miles Joiner","TE","9","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.6","","northern-illinois","2021"
"10","Kanon Woodill","K","2","0","0","0","0","0","0","0","0","4","4","3","3","0","0","13","6.5","","northern-illinois","2021"
"11","Tyrice Richie","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.9","","northern-illinois","2021"
"12","CJ Brown","S","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","northern-illinois","2021"
"13","Jaden Dolphin","LB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","northern-illinois","2021"
"14","Mason Blakemore","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","northern-illinois","2021"
"15","Tristen Tewes","TE","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.1","","northern-illinois","2021"
