"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Blake Grupe","K","13","0","0","0","0","0","0","0","0","49","49","14","19","0","0","91","7.0","","notre-dame","2022"
"2","Audric Estime","RB","13","11","1","0","0","0","0","0","12","0","0","0","0","0","0","72","5.5","","notre-dame","2022"
"3","Michael Mayer","TE","12","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","AA","notre-dame","2022"
"4","Logan Diggs","RB","12","4","2","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","notre-dame","2022"
"5","Chris Tyree","RB","13","3","2","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","notre-dame","2022"
"6","Tyler Buchner","QB","3","4","0","0","0","0","0","0","4","0","0","0","0","1","0","26","8.7","","notre-dame","2022"
"7","Jayden Thomas","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","notre-dame","2022"
"8","Braden Lenzy","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","notre-dame","2022"
"9","Drew Pyne","QB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","notre-dame","2022"
"10","Mitchell Evans","TE","8","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","notre-dame","2022"
"11","Deion Colzie","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","notre-dame","2022"
"12","Brandon Joseph","S","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.6","","notre-dame","2022"
"13","Lorenzo Styles Jr.","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","notre-dame","2022"
"14","Matt Salerno","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","notre-dame","2022"
"15","Prince Kollie","LB","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","notre-dame","2022"
"16","Tobias Merriweather","WR","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","notre-dame","2022"
"17","Benjamin Morrison","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","notre-dame","2022"
