"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jayden Fielding","K","13","0","0","0","0","0","0","0","0","49","50","16","20","0","0","97","7.5","","ohio-state","2023"
"2","Marvin Harrison Jr.","WR","12","1","14","0","0","0","0","0","15","0","0","0","0","0","0","90","7.5","H-4,AA","ohio-state","2023"
"3","TreVeyon Henderson","RB","10","11","0","0","0","0","0","0","11","0","0","0","0","0","0","66","6.6","","ohio-state","2023"
"4","Cade Stover","TE","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","ohio-state","2023"
"5","Emeka Egbuka","WR","10","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","ohio-state","2023"
"6","Deamonte Trayanum","RB","12","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","ohio-state","2023"
"7","Miyan Williams","RB","6","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","3.0","","ohio-state","2023"
"8","Brandon Inniss","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","ohio-state","2023"
"9","Carnell Tate","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
"10","Dallan Hayden","RB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","ohio-state","2023"
"11","Devin Brown","QB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","ohio-state","2023"
"12","Gee Scott Jr.","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
"13","Jermaine Matthews Jr.","CB","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
"14","Jordan Hancock","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
"15","Josh Proctor","DB","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
"16","Tyleik Williams","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","ohio-state","2023"
