"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Nathanial Vakos","K","14","0","0","0","0","0","0","0","0","49","50","22","27","0","0","115","8.2","","ohio","2022"
"2","Sieh Bangura","RB","12","13","2","0","0","0","0","0","15","0","0","0","0","0","0","90","7.5","","ohio","2022"
"3","Sam Wiglusz","WR","14","0","11","0","0","0","0","0","11","0","0","0","0","0","0","66","4.7","","ohio","2022"
"4","Jacoby Jones","WR","14","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","","ohio","2022"
"5","Kurtis Rourke","QB","11","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","ohio","2022"
"6","Tyler Foster","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","ohio","2022"
"7","Miles Cross","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.4","","ohio","2022"
"8","CJ Harris","QB","7","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.6","","ohio","2022"
"9","Nolan McCormick","RB","13","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","ohio","2022"
"10","Bryce Houston","LB","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.4","","ohio","2022"
"11","Jack McCrory","DE","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.4","","ohio","2022"
"12","Jake Neatherton","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","ohio","2022"
"13","James Bostic","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","ohio","2022"
"14","Keegan Wilburn","WR","13","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0.5","","ohio","2022"
"15","Tyler Toledo","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","ohio","2022"
"16","Justin Holloway","LS","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.1","","ohio","2022"
