"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Tanner Brown","K","12","0","0","0","0","0","0","0","0","42","42","22","23","0","0","108","9.0","","oklahoma-state","2022"
"2","Dominic Richardson","RB","9","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","5.3","","oklahoma-state","2022"
"3","Spencer Sanders","QB","10","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","4.8","","oklahoma-state","2022"
"4","Bryson Green","WR","11","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","oklahoma-state","2022"
"5","Jaden Nixon","RB","13","0","3","0","1","0","0","0","4","0","0","0","0","0","0","24","1.8","","oklahoma-state","2022"
"6","John Paul Richardson","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","oklahoma-state","2022"
"7","Ollie Gordon","RB","13","2","2","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","oklahoma-state","2022"
"8","Braydon Johnson","WR","10","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","oklahoma-state","2022"
"9","Brennan Presley","WR","13","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","oklahoma-state","2022"
"10","Stephon Johnson Jr.","WR","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","oklahoma-state","2022"
"11","Zach Middleton","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","oklahoma-state","2022"
"12","Trace Ford","DE","9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","oklahoma-state","2022"
"13","Talyn Shettron","WR","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","oklahoma-state","2022"
"14","Quinton Stewart","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oklahoma-state","2022"
"15","Korie Black","CB","13","0","0","0","0","0","0","1","1","0","0","0","0","0","0","6","0.5","","oklahoma-state","2022"
"16","Cale Cabbiness","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oklahoma-state","2022"
"17","Lamont Bishop","LB","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.2","","oklahoma-state","2022"
"18","Jaden Bray","WR","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.7","","oklahoma-state","2022"
"19","Alex Hale","K","4","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2","0.5","","oklahoma-state","2022"
