"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Zach Schmit","K","13","0","0","0","0","0","0","0","0","67","67","15","21","0","0","112","8.6","","oklahoma","2023"
"2","Dillon Gabriel","QB","12","12","0","0","0","0","0","0","12","0","0","0","0","0","0","72","6.0","","oklahoma","2023"
"3","Nic Anderson","WR","13","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","oklahoma","2023"
"4","Drake Stoops","WR","13","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","oklahoma","2023"
"5","Gavin Sawchuk","RB","12","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","oklahoma","2023"
"6","Tawee Walker","RB","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","oklahoma","2023"
"7","Jayden Gibson","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","oklahoma","2023"
"8","Billy Bowman","DB","13","0","0","0","0","0","3","0","3","0","0","0","0","0","0","18","1.4","","oklahoma","2023"
"9","Brenen Thompson","WR","7","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","oklahoma","2023"
"10","Gavin Freeman","WR","13","0","1","1","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","oklahoma","2023"
"11","Jalil Farooq","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","oklahoma","2023"
"12","Marcus Major","RB","7","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","oklahoma","2023"
"13","Danny Stutsman","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","oklahoma","2023"
"14","Blake Smith","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","oklahoma","2023"
"15","Andrel Anthony","WR","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","oklahoma","2023"
"16","Jackson Arnold","QB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","oklahoma","2023"
"17","Jovantae Barnes","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","oklahoma","2023"
"18","Kalib Hicks","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","oklahoma","2023"
"19","Austin Stogner","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oklahoma","2023"
"20","Gavin Marshall","K","2","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2","1.0","","oklahoma","2023"
