"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Ethan Sanchez","K","13","0","0","0","0","0","0","0","0","36","36","14","21","0","0","78","6.0","","old-dominion","2023"
"2","Kadarius Calloway","RB","9","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","4.0","","old-dominion","2023"
"3","Grant Wilson","QB","12","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","old-dominion","2023"
"4","Keshawn Wicks","RB","11","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","old-dominion","2023"
"5","Dominic Dutton","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","old-dominion","2023"
"6","Javon Harvey","WR","9","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","old-dominion","2023"
"7","Reymello Murphy","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","old-dominion","2023"
"8","Isiah Paige","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","old-dominion","2023"
"9","Kelby Williams","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","old-dominion","2023"
"10","Lamareon James","CB","13","0","0","0","0","1","1","0","2","0","0","0","0","0","0","12","0.9","","old-dominion","2023"
"11","Ahmarian Granger","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","old-dominion","2023"
"12","Jack Shields","QB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","old-dominion","2023"
"13","Jordan Bly","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","old-dominion","2023"
"14","Kris Caine","DE","5","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","1.2","","old-dominion","2023"
"15","Obie Sanni","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","old-dominion","2023"
"16","Jalen Butler","TE","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","old-dominion","2023"
