"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Atticus Sappington","K","12","0","0","0","0","0","0","0","0","49","50","13","14","0","0","88","7.3","","oregon-state","2023"
"2","Damien Martinez","RB","12","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","oregon-state","2023"
"3","Silas Bolden","WR","13","2","5","1","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","oregon-state","2023"
"4","Jack Velling","TE","12","0","8","0","0","0","0","0","8","0","0","0","0","0","0","48","4.0","","oregon-state","2023"
"5","Deshaun Fenwick","RB","13","5","2","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","oregon-state","2023"
"6","D.J. Uiagalelei","QB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","oregon-state","2023"
"7","Aidan Chiles","QB","9","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","oregon-state","2023"
"8","Anthony Gould","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","oregon-state","2023"
"9","Jimmy Valsin III","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","oregon-state","2023"
"10","Riley Sharp","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","oregon-state","2023"
"11","Jermaine Terry II","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"12","Ryan Cooper Jr.","DB","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.6","","oregon-state","2023"
"13","Rweha Munyagi Jr.","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"14","Joshua Gray","OL","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"15","Jesiah Irish","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"16","Jeremiah Noga","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"17","Isaac Hodgins","DL","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon-state","2023"
"18","Tyler Voltin","OL","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","oregon-state","2023"
