"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Camden Lewis","K","14","0","0","0","0","0","0","0","0","70","70","12","18","0","0","106","7.6","","oregon","2023"
"2","Troy Franklin","WR","13","0","14","0","0","0","0","0","14","0","0","0","0","1","0","86","6.6","","oregon","2023"
"3","Bucky Irving","RB","14","11","2","0","0","0","0","0","13","0","0","0","0","0","0","78","5.6","","oregon","2023"
"4","Jordan James","RB","14","11","1","0","0","0","0","0","12","0","0","0","0","0","0","72","5.1","","oregon","2023"
"5","Tez Johnson","WR","14","0","10","0","0","0","0","0","10","0","0","0","0","1","0","62","4.4","","oregon","2023"
"6","Traeshon Holden","WR","14","1","6","0","0","0","0","0","7","0","0","0","0","0","0","42","3.0","","oregon","2023"
"7","Terrance Ferguson","TE","14","0","6","0","0","0","0","0","6","0","0","0","0","2","0","40","2.9","","oregon","2023"
"8","Bo Nix","QB","14","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","H-3","oregon","2023"
"9","Gary Bryant Jr.","WR","14","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.7","","oregon","2023"
"10","Patrick Herbert","TE","14","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.4","","oregon","2023"
"11","Casey Kelly","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","oregon","2023"
"12","Noah Whittington","RB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","oregon","2023"
"13","Dante Dowdell","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","oregon","2023"
"14","Jayden Limar","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","oregon","2023"
"15","Jeffrey Bassa","LB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","oregon","2023"
"16","Kenyon Sadiq","TE","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","oregon","2023"
"17","Grant Meadors","K","5","0","0","0","0","0","0","0","0","5","5","0","0","0","0","5","1.0","","oregon","2023"
