"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jake Pinegar","K","13","0","0","0","0","0","0","0","0","57","59","12","16","0","0","93","7.2","","penn-state","2022"
"2","Nicholas Singleton","RB","13","12","1","0","1","0","0","0","14","0","0","0","0","0","0","84","6.5","","penn-state","2022"
"3","Kaytron Allen","RB","13","10","1","0","0","0","0","0","11","0","0","0","0","0","0","66","5.1","","penn-state","2022"
"4","Sean Clifford","QB","13","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","penn-state","2022"
"5","Brenton Strange","TE","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","penn-state","2022"
"6","Mitchell Tinsley","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","penn-state","2022"
"7","Theo Johnson","TE","11","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","penn-state","2022"
"8","Keandre Lambert-Smith","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","penn-state","2022"
"9","Tyler Warren","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","penn-state","2022"
"10","Parker Washington","WR","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","penn-state","2022"
"11","Khalil Dinkins","TE","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","penn-state","2022"
"12","Omari Evans","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","penn-state","2022"
"13","Kobe King","LB","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","penn-state","2022"
"14","Keyvone Lee","RB","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","penn-state","2022"
"15","Ji'ayir Brown","S","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","penn-state","2022"
"16","Harrison Wallace III","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","penn-state","2022"
"17","Drew Allar","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","penn-state","2022"
"18","Curtis Jacobs","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","penn-state","2022"
"19","Sander Sahaydak","K","7","0","0","0","0","0","0","0","0","1","1","1","2","0","0","4","0.6","","penn-state","2022"
