"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Ben Sauls","K","12","0","0","0","0","0","0","0","0","28","28","11","16","0","0","61","5.1","","pittsburgh","2023"
"2","Bub Means","WR","12","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","pittsburgh","2023"
"3","Konata Mumpfield","WR","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","pittsburgh","2023"
"4","Rodney Hammond Jr.","RB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","pittsburgh","2023"
"5","C'Bo Flemister","RB","12","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","pittsburgh","2023"
"6","Daniel Carter","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","pittsburgh","2023"
"7","Karter Johnson","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","pittsburgh","2023"
"8","Kenny Johnson","WR","12","0","1","0","1","0","0","0","2","0","0","0","0","0","0","12","1.0","","pittsburgh","2023"
"9","Braylan Lovelace","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","pittsburgh","2023"
"10","Gavin Bartholomew","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","pittsburgh","2023"
"11","Jake McConnachie","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","pittsburgh","2023"
"12","Marlin Devonshire","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","pittsburgh","2023"
"13","Nate Yarnell","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","pittsburgh","2023"
"14","Phil Jurkovec","QB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","pittsburgh","2023"
"15","Samuel Carpenter","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","pittsburgh","2023"
