"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Tyrone Tracy Jr.","RB","11","8","0","0","1","0","0","0","9","0","0","0","0","0","0","54","4.9","","purdue","2023"
"2","Deion Burks","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","1","0","44","3.7","","purdue","2023"
"3","Devin Mockobee","RB","12","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","purdue","2023"
"4","Ben Freehill","K","8","0","0","0","0","0","0","0","0","21","22","6","11","0","0","39","4.9","","purdue","2023"
"5","Hudson Card","QB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","purdue","2023"
"6","Julio Macias","K","5","0","0","0","0","0","0","0","0","9","10","2","6","0","0","15","3.0","","purdue","2023"
"7","Garrett Miller","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","purdue","2023"
"8","TJ Sheffield","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","purdue","2023"
"9","Drew Biber","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"10","Dylan Downing","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"11","George Burhenn","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"12","Jayden Dixon-Veal","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"13","Kydran Jenkins","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"14","Malik Langham","DL","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","purdue","2023"
"15","Andrew Sowinski","WR","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.3","","purdue","2023"
"16","Caleb Krockover","K","9","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.1","","purdue","2023"
