"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Luke McCaffrey","WR","13","0","13","0","0","0","0","0","13","0","0","0","0","1","0","80","6.2","","rice","2023"
"2","Tim Horn","K","13","0","0","0","0","0","0","0","0","47","47","8","12","0","0","71","5.5","","rice","2023"
"3","Dean Connors","RB","13","7","3","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","rice","2023"
"4","Daelen Alexander","RB","6","5","1","0","0","0","0","0","6","0","0","0","0","1","0","38","6.3","","rice","2023"
"5","Juma Otoviano","RB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","rice","2023"
"6","Boden Groen","TE","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","rice","2023"
"7","Landon Ransom-Goelz","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","rice","2023"
"8","Rawson MacNeill","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.1","","rice","2023"
"9","Braylen Walker","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","rice","2023"
"10","AJ Padgett","QB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","rice","2023"
"11","Christian Francisco","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","rice","2023"
"12","Jack Bradley","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","rice","2023"
"13","JT Daniels","QB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","rice","2023"
"14","Chike Anigbogu","S","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","rice","2023"
"15","Kobie Campbell","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","rice","2023"
"16","Chase Jenkins","QB","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","rice","2023"
"17","Enock Gota","K","9","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.1","","rice","2023"
