"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jude McAtamney","K","12","0","0","0","0","0","0","0","0","23","24","12","18","0","0","59","4.9","","rutgers","2022"
"2","Aron Cruickshank","WR","12","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","rutgers","2022"
"3","Samuel Brown V","RB","7","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.6","","rutgers","2022"
"4","Sean Ryan","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","rutgers","2022"
"5","Al-Shadee Salaam","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","rutgers","2022"
"6","Johnny Langan","TE","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","rutgers","2022"
"7","Kyle Monangai","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","rutgers","2022"
"8","Shameen Jones","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","rutgers","2022"
"9","Aaron Young","RB","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","rutgers","2022"
"10","Chris Long","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","rutgers","2022"
"11","Christian Braswell","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","rutgers","2022"
"12","Isaiah Washington","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","rutgers","2022"
"13","Noah Vedral","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","rutgers","2022"
"14","Rashad Rochelle","WR","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","rutgers","2022"
"15","Shaquan Loyal","DB","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","rutgers","2022"
"16","Timmy Ward","DB","9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","rutgers","2022"
