"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Matt Araiza","P","14","0","0","0","0","0","0","0","0","45","45","18","28","0","0","99","7.1","AA","san-diego-state","2021"
"2","Jesse Matthews","WR","14","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","3.9","","san-diego-state","2021"
"3","Greg Bell","RB","14","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","3.9","","san-diego-state","2021"
"4","Jordon Brookshire","QB","6","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","5.0","","san-diego-state","2021"
"5","Chance Bell","RB","13","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","san-diego-state","2021"
"6","Jordan Byrd","RB","14","3","0","0","1","0","0","0","4","0","0","0","0","0","0","24","1.7","","san-diego-state","2021"
"7","Tyrell Shavers","WR","13","0","2","1","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","san-diego-state","2021"
"8","Daniel Bellinger","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","san-diego-state","2021"
"9","Kaegun Williams","RB","14","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","san-diego-state","2021"
"10","Andrew Aleki","LB","13","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","0.9","","san-diego-state","2021"
"11","Lucas Johnson","QB","13","1","0","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","san-diego-state","2021"
"12","Jack Browning","K","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","san-diego-state","2021"
"13","Jay Rudolph","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","san-diego-state","2021"
"14","Ethan Dedeaux","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","san-diego-state","2021"
"15","Elijah Kothe","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","san-diego-state","2021"
"16","Trenton Thompson","S","14","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","san-diego-state","2021"
"17","Will Haskell","QB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","san-diego-state","2021"
