"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Spencer Shrader","K","12","0","0","0","0","0","0","0","0","37","37","9","13","0","0","64","5.3","","south-florida","2022"
"2","Brian Battie","RB","12","8","0","0","0","0","0","0","8","0","0","0","0","1","0","50","4.2","","south-florida","2022"
"3","Xavier Weaver","WR","9","0","6","0","0","0","0","0","6","0","0","0","0","1","0","38","4.2","","south-florida","2022"
"4","Jimmy Horn Jr.","WR","11","1","3","0","1","0","0","0","5","0","0","0","0","1","0","32","2.9","","south-florida","2022"
"5","Michel Dukes","RB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","south-florida","2022"
"6","Sean Atkins","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.8","","south-florida","2022"
"7","Byrum Brown","QB","4","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","4.5","","south-florida","2022"
"8","Gerry Bohanon","QB","7","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.6","","south-florida","2022"
"9","Jaren Mangham","RB","4","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","4.5","","south-florida","2022"
"10","Jayson Littlejohn","TE","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","south-florida","2022"
"11","Chris Carter","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","south-florida","2022"
"12","Christopher Mottillo","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","south-florida","2022"
"13","Dequan Stanley","CB","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","south-florida","2022"
"14","Holden Willis","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","south-florida","2022"
"15","Jason Albritton","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","south-florida","2022"
"16","K'wan Powell","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","south-florida","2022"
