"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Denis Lynch","K","13","0","0","0","0","0","0","0","0","65","66","10","14","0","0","95","7.3","","southern-california","2023"
"2","Brenden Rice","WR","12","0","12","0","0","0","0","0","12","0","0","0","0","0","0","72","6.0","","southern-california","2023"
"3","Caleb Williams","QB","12","11","0","0","0","0","0","0","11","0","0","0","0","1","0","68","5.7","","southern-california","2023"
"4","Marshawn Lloyd","RB","11","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.9","","southern-california","2023"
"5","Austin Jones","RB","13","7","1","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","southern-california","2023"
"6","Tahj Washington","WR","13","0","8","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","southern-california","2023"
"7","Zachariah Branch","WR","11","1","2","1","1","0","0","0","5","0","0","0","0","0","0","30","2.7","","southern-california","2023"
"8","Dorian Singer","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","southern-california","2023"
"9","Mario Williams","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","southern-california","2023"
"10","Duce Robinson","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","southern-california","2023"
"11","Ja'Kobi Lane","WR","6","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","southern-california","2023"
"12","Kyron Ware-Hudson","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","southern-california","2023"
"13","Miller Moss","QB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","southern-california","2023"
"14","Jude Wolfe","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-california","2023"
"15","Lake McRee","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-california","2023"
"16","Michael Jackson III","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","southern-california","2023"
"17","Quinten Joyner","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","southern-california","2023"
"18","Raleek Brown","WR","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","southern-california","2023"
"19","Stanley Ta'ufo'ou","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","southern-california","2023"
"20","Darwin Barlow","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","southern-california","2023"
"21","Calen Bullock","S","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","southern-california","2023"
"22","Tyler Robles","K","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.5","","southern-california","2023"
