"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Collin Rogers","K","13","0","0","0","0","0","0","0","0","58","58","16","20","0","0","106","8.2","","southern-methodist","2022"
"2","Tyler Lavine","RB","13","10","0","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","southern-methodist","2022"
"3","Rashee Rice","WR","12","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","5.0","","southern-methodist","2022"
"4","Jordan Kerley","WR","10","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.6","","southern-methodist","2022"
"5","RJ Maryland","TE","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","southern-methodist","2022"
"6","Ben Redding","TE","9","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","southern-methodist","2022"
"7","Tre Siggers","RB","4","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","6.0","","southern-methodist","2022"
"8","TJ McDaniel","RB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","southern-methodist","2022"
"9","Roderick Daniels Jr.","WR","12","1","3","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","southern-methodist","2022"
"10","Kelvontay Dixon","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","southern-methodist","2022"
"11","Preston Stone","QB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","southern-methodist","2022"
"12","Tanner Mordecai","QB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","southern-methodist","2022"
"13","Dylan Goffney","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","southern-methodist","2022"
"14","Camar Wheaton","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","southern-methodist","2022"
"15","Austin Upshaw","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-methodist","2022"
"16","Jake Bailey","WR","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","southern-methodist","2022"
"17","Elijah Chatman","DT","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","southern-methodist","2022"
"18","Velton Gardner","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","southern-methodist","2022"
