"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Briggs Bourgeois","K","13","0","0","0","0","0","0","0","0","36","37","18","19","0","0","90","6.9","","southern-mississippi","2022"
"2","Frank Gore Jr.","RB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","southern-mississippi","2022"
"3","Jason Brownlee","WR","13","0","8","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","southern-mississippi","2022"
"4","Jakarius Caston","WR","10","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","southern-mississippi","2022"
"5","Tiaquelin Mims","WR","9","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","southern-mississippi","2022"
"6","Janari Dean","RB","10","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","southern-mississippi","2022"
"7","Eric Scott Jr.","DB","13","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","0.9","","southern-mississippi","2022"
"8","Kenyon Clay","RB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","southern-mississippi","2022"
"9","Zay Franks","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-mississippi","2022"
"10","Ty Keyes","QB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","southern-mississippi","2022"
"11","Swayzee Bozeman","LB","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","1.5","","southern-mississippi","2022"
"12","Natrone Brooks","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","southern-mississippi","2022"
"13","Jalen May","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","southern-mississippi","2022"
"14","Cole Cavallo","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-mississippi","2022"
"15","Chandler Pittman","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","southern-mississippi","2022"
"16","Camron Harrell","DB","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.2","","southern-mississippi","2022"
"17","Andrew Stein","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","southern-mississippi","2022"
