"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Joshua Karty","K","12","0","0","0","0","0","0","0","0","24","25","18","18","0","0","78","6.5","","stanford","2022"
"2","Casey Filkins","RB","7","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","4.3","","stanford","2022"
"3","E.J. Smith","RB","2","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","12.0","","stanford","2022"
"4","Michael Wilson","WR","6","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","4.0","","stanford","2022"
"5","Brycen Tremayne","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.7","","stanford","2022"
"6","Ashton Daniels","QB","10","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","stanford","2022"
"7","Elijah Higgins","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","stanford","2022"
"8","Mitch Leigber","RB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","stanford","2022"
"9","Mudia Reuben","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","stanford","2022"
"10","Tanner McKee","QB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","stanford","2022"
"11","Benjamin Yurosek","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","stanford","2022"
"12","John Humphreys","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","stanford","2022"
