"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Camden Price","K","8","0","0","0","0","0","0","0","0","18","19","13","14","0","0","57","7.1","","temple","2022"
"2","Edward Saydee","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","temple","2022"
"3","Amad Anderson Jr.","WR","11","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","temple","2022"
"4","Jordan Smith","TE","11","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","temple","2022"
"5","Layton Jordan","LB","12","0","0","0","0","1","2","0","3","0","0","0","0","0","0","18","1.5","","temple","2022"
"6","David Martin-Robinson","TE","9","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.6","","temple","2022"
"7","Adonicas Sanders","WR","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","temple","2022"
"8","Darvon Hubbard","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","temple","2022"
"9","Ian Stewart","WR","5","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","temple","2022"
"10","Jose Barbon","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","temple","2022"
"11","Quincy Patterson","QB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","temple","2022"
"12","Zae Baines","WR","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","temple","2022"
"13","Rory Bell","K","12","0","0","0","0","0","0","0","0","10","10","0","2","0","0","10","0.8","","temple","2022"
"14","Mackenzie Morgan","P","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","temple","2022"
