"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Chase McGrath","PK","13","0","0","0","0","0","0","0","0","66","66","12","16","0","0","102","7.8","","tennessee","2021"
"2","Cedric Tillman","WR","13","0","12","0","0","0","0","0","12","0","0","0","0","0","0","72","5.5","","tennessee","2021"
"3","Jabari Small","RB","11","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.9","","tennessee","2021"
"4","Velus Jones Jr.","WR","13","0","7","0","1","0","0","0","8","0","0","0","0","0","0","48","3.7","","tennessee","2021"
"5","Tiyon Evans","RB","7","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","6.0","","tennessee","2021"
"6","JaVonta Payton","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","tennessee","2021"
"7","Hendon Hooker","QB","13","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","tennessee","2021"
"8","Jaylen Wright","RB","9","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","tennessee","2021"
"9","Jacob Warren","TE","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","tennessee","2021"
"10","Jalin Hyatt","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","tennessee","2021"
"11","Joe Milton","QB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","tennessee","2021"
"12","Len'Neth Whitehead","RB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","tennessee","2021"
"13","Harrison Bailey","QB","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","6.0","","tennessee","2021"
"14","Jimmy Calloway","WR","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","tennessee","2021"
"15","Marcus Pierce","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","tennessee","2021"
"16","Princeton Fant","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","tennessee","2021"
"17","Solon Page III","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","tennessee","2021"
"18","Theo Jackson","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","tennessee","2021"
"19","Alontae Taylor","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","tennessee","2021"
"20","JT Carver","PK","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","tennessee","2021"
