"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Randy Bond","K","13","0","0","0","0","0","0","0","0","48","48","26","35","0","0","126","9.7","","texas-am","2023"
"2","Amari Daniels","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","texas-am","2023"
"3","Noah Thomas","WR","11","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","texas-am","2023"
"4","Le'Veon Moss","RB","9","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","texas-am","2023"
"5","Evan Stewart","WR","8","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","3.0","","texas-am","2023"
"6","Jake Johnson","TE","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","texas-am","2023"
"7","Rueben Owens","RB","13","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","texas-am","2023"
"8","Ainias Smith","WR","12","0","2","1","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","texas-am","2023"
"9","Jaylen Henderson","QB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","texas-am","2023"
"10","Moose Muhammad III","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","texas-am","2023"
"11","Max Johnson","QB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","texas-am","2023"
"12","Jahdae Walker","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","texas-am","2023"
"13","Earnest Crownover","RB","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","texas-am","2023"
"14","Conner Weigman","QB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","texas-am","2023"
"15","Jaden Platt","TE","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","texas-am","2023"
"16","Jacoby Mathews","DB","11","0","0","0","0","0","0","1","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"17","Marcel Reed","QB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","texas-am","2023"
"18","Mark Nabou","OL","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"19","Max Wright","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"20","David Bailey","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"21","Raymond Cottrell","WR","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","texas-am","2023"
"22","Chris Russell","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"23","Shemar Stewart","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","texas-am","2023"
"24","Ethan Moczulski","K","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.5","","texas-am","2023"
