"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Griffin Kell","K","14","0","0","0","0","0","0","0","0","62","64","17","19","0","0","113","8.1","","texas-christian","2022"
"2","Kendre Miller","RB","14","17","0","0","0","0","0","0","17","0","0","0","0","0","0","102","7.3","","texas-christian","2022"
"3","Max Duggan","QB","15","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","3.6","H-2","texas-christian","2022"
"4","Derius Davis","WR","14","1","5","2","0","0","0","0","8","0","0","0","0","1","0","50","3.6","","texas-christian","2022"
"5","Emari Demercado","RB","15","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","2.8","","texas-christian","2022"
"6","Quentin Johnston","WR","14","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","","texas-christian","2022"
"7","Taye Barber","WR","15","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.0","","texas-christian","2022"
"8","Jared Wiley","TE","15","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","1.7","","texas-christian","2022"
"9","Savion Williams","WR","15","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.6","","texas-christian","2022"
"10","Jordan Hudson","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","texas-christian","2022"
"11","Emani Bailey","RB","14","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","texas-christian","2022"
"12","Gunnar Henderson","WR","15","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.8","","texas-christian","2022"
"13","Sam Jackson","QB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","texas-christian","2022"
"14","Quincy Brown","WR","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","6.0","","texas-christian","2022"
"15","Luke Laminack","K","15","0","0","0","0","0","0","0","0","6","7","1","2","0","0","9","0.6","","texas-christian","2022"
"16","Josh Newton","CB","15","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","texas-christian","2022"
"17","Nook Bradford","S","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","texas-christian","2022"
"18","Bud Clark","S","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","texas-christian","2022"
"19","Geor'Quarius Spivey","TE","15","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","texas-christian","2022"
"20","Dee Winters","LB","15","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","texas-christian","2022"
