"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Chase Allen","K","12","0","0","0","0","0","0","0","0","49","49","13","15","0","0","88","7.3","","texas-san-antonio","2023"
"2","Robert Henry","RB","13","11","0","0","0","0","0","0","11","0","0","0","0","0","0","66","5.1","","texas-san-antonio","2023"
"3","Joshua Cephus","WR","13","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","texas-san-antonio","2023"
"4","Tykee Ogle-Kellogg","WR","13","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","texas-san-antonio","2023"
"5","Kevorian Barnes","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","texas-san-antonio","2023"
"6","Rocko Griffin","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","texas-san-antonio","2023"
"7","Frank Harris","QB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","texas-san-antonio","2023"
"8","Devin McCuin","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.7","","texas-san-antonio","2023"
"9","Oscar Cardenas","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","texas-san-antonio","2023"
"10","Willie McCoy","WR","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","texas-san-antonio","2023"
"11","Chris Carpenter","WR","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-san-antonio","2023"
"12","David Amador II","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-san-antonio","2023"
"13","Tate Sandell","K","13","0","0","0","0","0","0","0","0","2","2","1","2","0","0","5","0.4","","texas-san-antonio","2023"
"14","Joe Evans","DL","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.2","","texas-san-antonio","2023"
