"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Seth Keller","K","12","0","0","0","0","0","0","0","0","28","28","14","16","0","0","70","5.8","","texas-state","2022"
"2","Ashtyn Hawkins","WR","9","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","4.7","","texas-state","2022"
"3","Lincoln Pare","RB","12","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","texas-state","2022"
"4","Javen Banks","WR","9","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","texas-state","2022"
"5","Charles Brown","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","texas-state","2022"
"6","Calvin Hill","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","texas-state","2022"
"7","Donovan Moorer","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-state","2022"
"8","Jahmyl Jeter","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","texas-state","2022"
"9","Josh Berry","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","texas-state","2022"
"10","Julian Ortega-Jones","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","texas-state","2022"
"11","Kordell Rodgers","CB","9","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.7","","texas-state","2022"
"12","Layne Hatcher","QB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","texas-state","2022"
"13","Marcell Barbee","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","texas-state","2022"
"14","Rontavious Groves","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","texas-state","2022"
"15","Tory Spears","S","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.6","","texas-state","2022"
"16","Mason Shipley","K","12","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","0.3","","texas-state","2022"
