"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Bryant Koback","RB","13","15","3","0","0","0","0","0","18","0","0","0","0","1","0","110","8.5","","toledo","2021"
"2","Thomas Cluckey","PK","13","0","0","0","0","0","0","0","0","52","52","14","24","0","0","94","7.2","","toledo","2021"
"3","DeQuan Finn","QB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","toledo","2021"
"4","Matt Landers","WR","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","toledo","2021"
"5","Devin Maddox","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","toledo","2021"
"6","Micah Kelly","RB","13","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","toledo","2021"
"7","Jacquez Stuart","RB","13","1","0","0","1","0","0","0","2","0","0","0","0","0","0","18","1.4","","toledo","2021"
"8","Bryce Mitchell","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","toledo","2021"
"9","Drew Rosi","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","toledo","2021"
"10","Danzel Mckinley-Lewis","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","toledo","2021"
"11","Isaiah Winstead","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"12","Jamal Turner","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"13","Jerjuan Newton","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"14","Lamy Constant","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","toledo","2021"
"15","Demeer Blankumsee","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"16","Maxen Hook","S","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"17","Chris McDonald","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
"18","Zach Ford","S","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","toledo","2021"
