"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Brooks Buce","K","14","0","0","0","0","0","0","0","0","41","42","17","19","0","0","92","6.6","","troy","2022"
"2","Kimani Vidal","RB","14","10","0","0","0","0","0","0","10","0","0","0","0","0","0","60","4.3","","troy","2022"
"3","DK Billingsley","RB","14","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","3.4","","troy","2022"
"4","Rajae' Johnson-Sanders","WR","14","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.0","","troy","2022"
"5","Tez Johnson","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","troy","2022"
"6","Gunnar Watson","QB","13","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","troy","2022"
"7","Deshon Stoudemire","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","troy","2022"
"8","Deyunkrea Lewis","TE","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","troy","2022"
"9","Jabre Barber","WR","6","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","troy","2022"
"10","Antonio Showers","DE","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.4","","troy","2022"
"11","Buddha Jones","DL","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.4","","troy","2022"
"12","Damien Taylor","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","troy","2022"
"13","Michael Vice","TE","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","troy","2022"
"14","Peyton Higgins","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","troy","2022"
"15","Reddy Steward","CB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","troy","2022"
"16","Clayton Ollendieck","TE","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.1","","troy","2022"
