"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Tyjae Spears","RB","14","19","2","0","0","0","0","0","21","0","0","0","0","0","0","126","9.0","","tulane","2022"
"2","Valentino Ambrosio","K","9","0","0","0","0","0","0","0","0","43","43","11","12","0","0","76","8.4","","tulane","2022"
"3","Michael Pratt","QB","13","10","1","0","0","0","0","0","11","0","0","0","0","0","0","66","5.1","","tulane","2022"
"4","Duece Watts","WR","14","0","8","0","0","0","0","0","8","0","0","0","0","0","0","48","3.4","","tulane","2022"
"5","Shae Wyatt","WR","14","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.0","","tulane","2022"
"6","Kriston Esnard","K","6","0","0","0","0","0","0","0","0","20","20","3","6","0","0","29","4.8","","tulane","2022"
"7","Tyrick James","TE","14","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.7","","tulane","2022"
"8","Jha'Quan Jackson","WR","14","0","3","1","0","0","0","0","4","0","0","0","0","0","0","24","1.7","","tulane","2022"
"9","Lawrence Keys III","WR","13","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","tulane","2022"
"10","Shaadie Clayton-Johnson","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","tulane","2022"
"11","Dea Dea McDougle","WR","10","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","tulane","2022"
"12","Alex Bauman","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","tulane","2022"
"13","Reggie Brown","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","tulane","2022"
"14","Justin Ibieta","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","tulane","2022"
"15","Jadon Candy","DB","8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.8","","tulane","2022"
"16","Patrick Jenkins","DL","14","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.1","","tulane","2022"
"17","Graham Dable","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","tulane","2022"
