"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Connor Coles","K","12","1","0","0","0","0","0","0","1","33","33","12","17","0","0","75","6.3","","utah-state","2022"
"2","Calvin Tyler Jr.","RB","13","7","1","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","utah-state","2022"
"3","Terrell Vaughn","WR","13","1","5","0","1","0","0","0","7","0","0","0","0","0","0","42","3.2","","utah-state","2022"
"4","Brian Cobbs","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","utah-state","2022"
"5","Justin McGriff","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.0","","utah-state","2022"
"6","Bishop Davenport","QB","3","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","4.0","","utah-state","2022"
"7","Cooper Legas","QB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","utah-state","2022"
"8","Broc Lane","TE","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","utah-state","2022"
"9","Hunter Reynolds","S","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","utah-state","2022"
"10","Ike Larsen","S","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","utah-state","2022"
"11","Jaden Smith","CB","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","utah-state","2022"
"12","Josh Sterzer","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","utah-state","2022"
"13","Kyle Van Leeuwen","WR","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","utah-state","2022"
"14","Robert Briggs","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","utah-state","2022"
