"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Cole Becker","K","10","0","0","0","0","0","0","0","0","28","28","15","18","0","0","73","7.3","","utah","2023"
"2","Sione Vaki","S","12","2","3","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","utah","2023"
"3","Ja'Quinden Jackson","RB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","utah","2023"
"4","Nate Johnson","QB","8","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","3.0","","utah","2023"
"5","Bryson Barnes","QB","11","3","0","0","0","0","0","0","3","0","0","0","0","1","0","20","1.8","","utah","2023"
"6","Devaughn Vele","WR","10","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","utah","2023"
"7","Landen King","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","utah","2023"
"8","Jaylon Glover","RB","13","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","utah","2023"
"9","Luke Bottari","QB","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","6.0","","utah","2023"
"10","Munir McClain","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","utah","2023"
"11","Money Parks","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","utah","2023"
"12","Joey Cheek","K","3","0","0","0","0","0","0","0","0","7","7","1","2","0","0","10","3.3","","utah","2023"
"13","Lander Barton","LB","7","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.9","","utah","2023"
"14","Thomas Yassmin","TE","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","utah","2023"
"15","Miki Suguturaga","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","utah","2023"
"16","Micah Bernard","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","utah","2023"
"17","Karene Reid","LB","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","utah","2023"
"18","Charlie Vincent","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","utah","2023"
