"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Joseph Bulovas","K","12","0","0","0","0","0","0","0","0","35","35","7","12","0","0","56","4.7","","vanderbilt","2022"
"2","Will Sheppard","WR","12","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","vanderbilt","2022"
"3","Re'Mahn Davis","RB","12","5","3","0","0","0","0","0","8","0","0","0","0","0","0","48","4.0","","vanderbilt","2022"
"4","Mike Wright","QB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","vanderbilt","2022"
"5","Gavin Schoenwald","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","vanderbilt","2022"
"6","Jayden McGowan","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","vanderbilt","2022"
"7","CJ Taylor","LB","12","0","0","0","0","2","0","0","2","0","0","0","0","0","0","12","1.0","","vanderbilt","2022"
"8","Quincy Skinner Jr.","WR","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","vanderbilt","2022"
"9","Ben Bresnahan","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","vanderbilt","2022"
"10","Cooper Lutz","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","vanderbilt","2022"
"11","Gamarion Carter","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","vanderbilt","2022"
"12","Anfernee Orji","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","vanderbilt","2022"
"13","Patrick Smith","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","vanderbilt","2022"
"14","Rocko Griffin","RB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","vanderbilt","2022"
"15","Wesley Schelling","LS","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","vanderbilt","2022"
"16","AJ Swann","QB","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","vanderbilt","2022"
"17","Will Faris","K","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.5","","vanderbilt","2022"
