"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","William Ross","K","9","0","0","0","0","0","0","0","0","20","22","8","10","0","0","44","4.9","","virginia-tech","2022"
"2","Grant Wells","QB","11","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.3","","virginia-tech","2022"
"3","Jalen Holston","RB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","virginia-tech","2022"
"4","Keshawn King","RB","9","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","virginia-tech","2022"
"5","Kaleb Smith","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","virginia-tech","2022"
"6","Da'Wain Lofton","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","virginia-tech","2022"
"7","Malachi Thomas","RB","3","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","4.0","","virginia-tech","2022"
"8","Bryce Duke","RB","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","virginia-tech","2022"
"9","Jadan Blue","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","virginia-tech","2022"
"10","John Love","K","2","0","0","0","0","0","0","0","0","3","3","1","2","0","0","6","3.0","","virginia-tech","2022"
"11","Keli Lawson","LB","8","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.8","","virginia-tech","2022"
"12","Nyke Johnson","DB","8","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","virginia-tech","2022"
"13","Tucker Holloway","WR","5","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","virginia-tech","2022"
