"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Brendan Farrell","P","9","0","0","0","0","0","0","0","0","34","34","11","13","0","0","67","7.4","","virginia","2021"
"2","Brennan Armstrong","QB","11","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","5.5","","virginia","2021"
"3","Dontayvion Wicks","WR","12","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","virginia","2021"
"4","Jelani Woods","TE","11","0","8","0","0","0","0","0","8","0","0","0","0","1","0","50","4.5","","virginia","2021"
"5","Billy Kemp","WR","12","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","virginia","2021"
"6","Keytaon Thompson","QB","12","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","virginia","2021"
"7","Justin Duenkel","K","6","0","0","0","0","0","0","0","0","16","16","4","6","0","0","28","4.7","","virginia","2021"
"8","Wayne Taulapapa","RB","10","2","1","0","0","0","0","0","3","0","0","0","0","1","0","20","2.0","","virginia","2021"
"9","Ra'Shaun Henry","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","virginia","2021"
"10","Devin Darrington","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","virginia","2021"
"11","Mike Hollins","RB","9","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","virginia","2021"
"12","Ronnie Walker Jr.","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","virginia","2021"
"13","Demick Starling","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","virginia","2021"
"14","Grant Misch","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","virginia","2021"
