"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Nick Sciba","K","14","0","0","0","0","0","0","0","0","65","65","23","25","0","0","134","9.6","","wake-forest","2021"
"2","A.T. Perry","WR","14","0","15","0","0","0","0","0","15","0","0","0","0","1","0","92","6.6","","wake-forest","2021"
"3","Sam Hartman","QB","14","11","0","0","0","0","0","0","11","0","0","0","0","1","0","68","4.9","","wake-forest","2021"
"4","Jaquarii Roberson","WR","13","0","8","0","0","0","0","0","8","0","0","0","0","1","0","50","3.8","","wake-forest","2021"
"5","Justice Ellison","RB","11","7","1","0","0","0","0","0","8","0","0","0","0","0","0","48","4.4","","wake-forest","2021"
"6","Christian Beal","RB","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","wake-forest","2021"
"7","Christian Beal-Smith","","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","wake-forest","2021"
"8","Christian Turner","RB","14","5","0","0","0","0","0","0","5","0","0","0","0","1","0","32","2.3","","wake-forest","2021"
"9","Taylor Morin","WR","14","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","wake-forest","2021"
"10","Blake Whiteheart","TE","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","wake-forest","2021"
"11","Brandon Chapman","TE","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","wake-forest","2021"
"12","Ke'Shawn Williams","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","wake-forest","2021"
"13","Donald Stewart","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","wake-forest","2021"
"14","Ja'Sir Taylor","DB","14","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0.4","","wake-forest","2021"
"15","Quinton Cooley","RB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","wake-forest","2021"
"16","Traveon Redd","DB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","wake-forest","2021"
