"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Peyton Henry","K","13","0","0","0","0","0","0","0","0","58","59","19","22","0","0","115","8.8","","washington","2022"
"2","Cameron Davis","RB","11","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","7.1","","washington","2022"
"3","Wayne Taulapapa","RB","13","11","1","0","0","0","0","0","12","0","0","0","0","0","0","72","5.5","","washington","2022"
"4","Jalen McMillan","WR","13","0","9","0","0","0","0","0","9","0","0","0","0","1","0","56","4.3","","washington","2022"
"5","Rome Odunze","WR","12","1","7","0","0","0","0","0","8","0","0","0","0","0","0","48","4.0","","washington","2022"
"6","Ja'lynn Polk","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","2","0","40","3.1","","washington","2022"
"7","Michael Penix Jr.","QB","13","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","H-8","washington","2022"
"8","Taj Davis","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","washington","2022"
"9","Richard Newton","RB","10","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","washington","2022"
"10","Sam Adams II","RB","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","washington","2022"
"11","Will Nixon","WR","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","washington","2022"
"12","Denzel Boston","WR","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","washington","2022"
"13","Devin Culp","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","washington","2022"
"14","Giles Jackson","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","washington","2022"
"15","Jack Westover","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","washington","2022"
"16","Addison Shrock","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","washington","2022"
