"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Casey Legg","K","12","0","0","0","0","0","0","0","0","37","39","14","15","0","0","79","6.6","","west-virginia","2022"
"2","CJ Donaldson","TE","7","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","6.9","","west-virginia","2022"
"3","Bryce Ford-Wheaton","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","1","0","44","3.7","","west-virginia","2022"
"4","Sam James","WR","12","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","west-virginia","2022"
"5","Tony Mathis","RB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","west-virginia","2022"
"6","Garrett Greene","QB","9","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","west-virginia","2022"
"7","Justin Johnson Jr.","RB","12","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","west-virginia","2022"
"8","Kaden Prather","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","west-virginia","2022"
"9","Jaylen Anderson","RB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","west-virginia","2022"
"10","Jacolby Spells","CB","9","0","0","0","0","0","1","0","1","0","0","0","0","1","0","8","0.9","","west-virginia","2022"
"11","Jasir Cox","DB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","west-virginia","2022"
"12","Jeremiah Aaron","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","west-virginia","2022"
"13","JT Daniels","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","west-virginia","2022"
"14","Malachi Ruffin","CB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","west-virginia","2022"
"15","Preston Fox","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","west-virginia","2022"
"16","Reese Smith","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","west-virginia","2022"
"17","Parker Grothaus","K","12","0","0","0","0","0","0","0","0","2","3","0","0","0","0","2","0.2","","west-virginia","2022"
