"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Collin Larsh","K","13","0","0","0","0","0","0","0","0","39","40","17","22","0","0","90","6.9","","wisconsin","2021"
"2","Braelon Allen","RB","12","12","0","0","0","0","0","0","12","0","0","0","0","0","0","72","6.0","","wisconsin","2021"
"3","Chez Mellusi","RB","9","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","wisconsin","2021"
"4","Graham Mertz","QB","13","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","wisconsin","2021"
"5","Jake Ferguson","TE","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","wisconsin","2021"
"6","John Chenal","FB","13","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","wisconsin","2021"
"7","Kendric Pryor","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","wisconsin","2021"
"8","Danny Davis","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","wisconsin","2021"
"9","Caesar Williams","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","wisconsin","2021"
"10","Chimere Dike","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","wisconsin","2021"
"11","Clay Cundiff","TE","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","wisconsin","2021"
"12","Isaac Guerendo","RB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","wisconsin","2021"
"13","Jackson Acker","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","wisconsin","2021"
"14","Jalen Berger","RB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","wisconsin","2021"
"15","Scott Nelson","S","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","wisconsin","2021"
"16","Stephan Bracey","WR","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","3.0","","wisconsin","2021"
